"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"rmarkdown","rmarkdown","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.18",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), htmltools (>= 0.5.1),
jquerylib, jsonlite, knitr (>= 1.22), methods, stringr (>=
1.2.0), tinytex (>= 0.31), tools, utils, xfun (>= 0.30), yaml
(>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, tufte, vctrs, withr (>= 2.4.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"rpart.plot","rpart.plot","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.1.1",NA,"R (>= 3.4.0), rpart (>= 4.1-15)",NA,NA,"earth (>= 5.1.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"Rsamtools","Rsamtools","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.12.0",NA,"methods, GenomeInfoDb (>= 1.1.3), GenomicRanges (>= 1.31.8),
Biostrings (>= 2.47.6), R (>= 3.5.0)","utils, BiocGenerics (>= 0.25.1), S4Vectors (>= 0.17.25),
IRanges (>= 2.13.12), XVector (>= 0.19.7), zlibbioc, bitops,
BiocParallel, stats","Rhtslib (>= 1.17.7), S4Vectors, IRanges, XVector, Biostrings","GenomicAlignments, ShortRead (>= 1.19.10), GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg18.knownGene, RNAseqData.HNRNPC.bam.chr14,
BSgenome.Hsapiens.UCSC.hg19, RUnit, BiocStyle",NA,"Artistic-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"RSQLite","RSQLite","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.2.18",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.1.0), memoise, methods,
pkgconfig, Rcpp (>= 1.0.7)","plogr (>= 0.2.0), Rcpp","callr, DBItest (>= 1.7.0), gert, gh, knitr, rmarkdown, hms,
rvest, testthat, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.2.0"
"rstudioapi","rstudioapi","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.14",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"rtracklayer","rtracklayer","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.56.1",NA,"R (>= 3.5.0), methods, GenomicRanges (>= 1.37.2)","XML (>= 1.98-0), BiocGenerics (>= 0.35.3), S4Vectors (>=
0.23.18), IRanges (>= 2.13.13), XVector (>= 0.19.7),
GenomeInfoDb (>= 1.15.2), Biostrings (>= 2.47.6), zlibbioc,
RCurl (>= 1.4-2), Rsamtools (>= 1.31.2), GenomicAlignments (>=
1.15.6), BiocIO, tools, restfulr (>= 0.0.13)","S4Vectors, IRanges, XVector","BSgenome (>= 1.33.4), humanStemCell, microRNA (>= 1.1.1),
genefilter, limma, org.Hs.eg.db, hgu133plus2.db,
GenomicFeatures, BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene, RUnit",NA,"Artistic-2.0 + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"rvest","rvest","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0.3",NA,"R (>= 3.2)","glue, cli, httr (>= 0.5), lifecycle (>= 1.0.0), magrittr,
rlang (>= 1.0.0), selectr, tibble, xml2 (>= 1.3), withr",NA,"covr, knitr, readr, repurrrsive, rmarkdown, spelling, stringi
(>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"s2","s2","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1.0",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.2.0"
"S4Vectors","S4Vectors","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.34.0",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
"sandwich","sandwich","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.0-2",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"sass","sass","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4.2",NA,NA,"fs, rlang (>= 0.4.10), htmltools (>= 0.5.1), R6, rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ScaledMatrix","ScaledMatrix","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4.1",NA,NA,"methods, Matrix, S4Vectors, DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, BiocSingular",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"scater","scater","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.24.0",NA,"SingleCellExperiment, scuttle, ggplot2","stats, utils, methods, grid, gridExtra, Matrix, BiocGenerics,
S4Vectors, SummarizedExperiment, DelayedArray,
DelayedMatrixStats, beachmat, BiocNeighbors, BiocSingular,
BiocParallel, rlang, ggbeeswarm, viridis, Rtsne, RColorBrewer,
RcppML, ggrepel",NA,"BiocStyle, biomaRt, cowplot, knitr, scRNAseq, robustbase,
rmarkdown, uwot, testthat, pheatmap, snifter, Biobase",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"scatterpie","scatterpie","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.8",NA,"R (>= 3.4.0), ggplot2","ggforce, rlang, ggfun, stats, tidyr, utils",NA,"knitr, rmarkdown, prettydoc, maps, scales",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"scran","scran","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.24.1",NA,"SingleCellExperiment, scuttle","SummarizedExperiment, S4Vectors, BiocGenerics, BiocParallel,
Rcpp, stats, methods, utils, Matrix, edgeR, limma, igraph,
statmod, DelayedArray, DelayedMatrixStats, BiocSingular,
bluster, metapod, dqrng, beachmat","Rcpp, beachmat, BH, dqrng, scuttle","testthat, BiocStyle, knitr, rmarkdown, HDF5Array, scRNAseq,
dynamicTreeCut, ResidualMatrix, ScaledMatrix, DESeq2, monocle,
Biobase, pheatmap, scater",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"scuttle","scuttle","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.6.3",NA,"SingleCellExperiment","methods, utils, stats, Matrix, Rcpp, BiocGenerics, S4Vectors,
BiocParallel, GenomicRanges, SummarizedExperiment,
DelayedArray, DelayedMatrixStats, beachmat","Rcpp, beachmat","BiocStyle, knitr, scRNAseq, rmarkdown, testthat, scran",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"selectr","selectr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.2.0"
"servr","servr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.25",NA,"R (>= 3.0.0)","mime (>= 0.2), httpuv (>= 1.5.2), xfun, jsonlite",NA,"tools, later, rstudioapi, knitr (>= 1.9), rmarkdown",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"SeuratData","SeuratData","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2.2",NA,"R (>= 3.5.0)","cli, crayon, rappdirs, stats, utils",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"sf","sf","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.0-9",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, covr, dplyr (>= 0.8-3), ggplot2, knitr, lwgeom (>=
0.2-1), maps, mapview, Matrix, microbenchmark, odbc, pbapply,
pillar, pool, raster, rlang, rmarkdown, RPostgres (>= 1.1.0),
RPostgreSQL, RSQLite, sp (>= 1.2-4), spatstat (>= 2.0-1),
spatstat.geom, spatstat.random, spatstat.linnet,
spatstat.utils, stars (>= 0.2-0), terra, testthat, tibble (>=
1.4.1), tidyr (>= 1.2.0), tidyselect (>= 1.0.0), tmap (>= 2.0),
vctrs, wk",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sfheaders","sfheaders","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4.0",NA,NA,"geometries (>= 0.2.0), Rcpp","geometries, Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sftime","sftime","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2-0",NA,"sf (>= 1.0.7)","methods",NA,"knitr, spacetime, rmarkdown, dplyr (>= 0.8-3), trajectories
(>= 0.2.2), stars, ncmeta, tidyr, ggplot2, magrittr, sp, rlang",NA,"Apache License",NA,NA,NA,NA,"no","4.2.0"
"shadowtext","shadowtext","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.2",NA,"R (>= 3.4.0)","ggplot2, grid, scales",NA,"knitr, rmarkdown, prettydoc",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"siggenes","siggenes","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.70.0",NA,"Biobase, multtest, splines, methods","stats4, grDevices, graphics, stats, scrime (>= 1.2.5)",NA,"affy, annotate, genefilter, KernSmooth",NA,"LGPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"SingleCellExperiment","SingleCellExperiment","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.18.1",NA,"SummarizedExperiment","methods, utils, stats, S4Vectors, BiocGenerics, GenomicRanges,
DelayedArray",NA,"testthat, BiocStyle, knitr, rmarkdown, Matrix, scRNAseq (>=
2.9.1), Rtsne",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"SingleR","SingleR","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.10.0",NA,"SummarizedExperiment","methods, Matrix, S4Vectors, DelayedArray, DelayedMatrixStats,
BiocNeighbors, BiocParallel, BiocSingular, stats, utils, Rcpp,
beachmat, parallel","Rcpp, beachmat","testthat, knitr, rmarkdown, BiocStyle, BiocGenerics,
SingleCellExperiment, scuttle, scater, scran, scRNAseq,
ggplot2, pheatmap, grDevices, gridExtra, viridis, celldex",NA,"GPL-3 + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sn","sn","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1.1",NA,"R (>= 3.0.0), methods, stats4","mnormt (>= 2.0.0), numDeriv, utils, quantreg",NA,"R.rsp",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"snow","snow","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.2.0"
"sp","sp","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.5-1",NA,"R (>= 3.0.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, rgdal (>= 1.2-3), rgeos (>= 0.3-13), gstat,
maptools, deldir, knitr, rmarkdown, sf",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spacetime","spacetime","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2-8",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes (>= 2.0), foreign, gstat (>= 1.0-16),
maps, mapdata, maptools, plm, raster, RColorBrewer, rgdal,
rgeos, rmarkdown, RPostgreSQL, knitr, googleVis, ISOcodes,
markdown, sf, sftime",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"spam","spam","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.9-1",NA,"R (>= 3.5)","dotCall64, grid, methods",NA,"spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"sparseMatrixStats","sparseMatrixStats","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.8.0",NA,"MatrixGenerics (>= 1.5.3)","Rcpp, Matrix, matrixStats (>= 0.60.0), methods","Rcpp","testthat (>= 2.1.0), knitr, bench, rmarkdown, BiocStyle",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"SpatialExtremes","SpatialExtremes","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.1-0",NA,"R (>= 1.8.0)","maps, fields",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.data","spatstat.data","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.0-3",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.0-2), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"spatstat.explore","spatstat.explore","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.2-5",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-1), spatstat.geom (>=
3.2-7), spatstat.random (>= 3.2-1), stats, graphics, grDevices,
utils, methods, nlme","spatstat.utils (>= 3.0-3), spatstat.sparse (>= 3.0-1), goftest
(>= 1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.1), spatstat.model (>= 3.2-3), spatstat
(>= 3.0-5)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.geom","spatstat.geom","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.2-7",NA,"R (>= 3.5.0), spatstat.data (>= 3.0), stats, graphics,
grDevices, utils, methods","spatstat.utils (>= 3.0-2), deldir (>= 1.0-2), polyclip (>=
1.10-0)",NA,"spatstat.random, spatstat.explore, spatstat.model,
spatstat.linnet, spatial, fftwtools (>= 0.9-8), spatstat (>=
3.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.random","spatstat.random","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.2-1",NA,"R (>= 3.5.0), spatstat.data (>= 3.0), spatstat.geom (>=
3.2-1), stats, utils, methods, grDevices","spatstat.utils (>= 3.0-2)",NA,"spatial, spatstat.linnet (>= 3.0), spatstat.explore,
spatstat.model, spatstat (>= 3.0), gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.sparse","spatstat.sparse","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.0-3",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-2)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"spatstat.utils","spatstat.utils","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.0-4",NA,"R (>= 3.3.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"stars","stars","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.5-6",NA,"R (>= 3.3.0), abind, sf (>= 1.0-8)","methods, parallel, classInt (>= 0.4-1), lwgeom, rlang, units",NA,"PCICt, RNetCDF (>= 1.8-2), clue, covr, cubelyr, digest, dplyr
(>= 0.7-0), exactextractr, FNN, future.apply, ggforce, ggplot2,
ggthemes, gstat, httr, jsonlite, knitr, maps, mapdata,
ncdfgeom, ncmeta (>= 0.0.3), pbapply, plm, randomForest,
raster, rgdal, rmarkdown, sp, spacetime, spatstat (>= 2.0-1),
spatstat.geom, starsdata, terra (>= 1.4-22), testthat, tidyr,
viridis, xts, zoo",NA,"Apache License",NA,NA,NA,NA,"no","4.2.0"
"stringr","stringr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.4.1",NA,"R (>= 3.1)","glue (>= 1.2.0), magrittr, stringi (>= 1.1.7)",NA,"covr, htmltools, htmlwidgets, knitr, rmarkdown, testthat",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"SummarizedExperiment","SummarizedExperiment","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.26.1",NA,"R (>= 4.0.0), methods, MatrixGenerics (>= 1.1.3),
GenomicRanges (>= 1.41.5), Biobase","utils, stats, tools, Matrix, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.33.7), IRanges (>= 2.23.9), GenomeInfoDb (>=
1.13.1), DelayedArray (>= 0.15.10)",NA,"HDF5Array (>= 1.7.5), annotate, AnnotationDbi, hgu95av2.db,
GenomicFeatures, TxDb.Hsapiens.UCSC.hg19.knownGene, jsonlite,
rhdf5, airway (>= 1.15.1), BiocStyle, knitr, rmarkdown, RUnit,
testthat, digest",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"synergyfinder","synergyfinder","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.4.5",NA,"R (>= 4.0.0)","drc (>= 3.0-1), reshape2 (>= 1.4.4), tidyverse (>= 1.3.0),
dplyr (>= 1.0.3), tidyr (>= 1.1.2), purrr (>= 0.3.4), furrr (>=
0.2.2), ggplot2 (>= 3.3.3), ggforce (>= 0.3.2), grid (>=
4.0.2), vegan (>= 2.5-7), gstat (>= 2.0-6), sp (>= 1.4-5),
methods (>= 4.0.2), SpatialExtremes (>= 2.0-9), ggrepel (>=
0.9.1), kriging (>= 1.1), plotly (>= 4.9.3), stringr (>=
1.4.0), future (>= 1.21.0), mice (>= 3.13.0), lattice (>=
0.20-41), nleqslv (>= 3.3.2), stats (>= 4.0.2), graphics (>=
4.0.2), grDevices (>= 4.0.2), magrittr (>= 2.0.1), pbapply (>=
1.4-3), metR (>= 0.9.1)",NA,"knitr, rmarkdown",NA,"Mozilla Public License 2.0",NA,NA,NA,NA,"no","4.2.0"
"sys","sys","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","3.4.1",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"TFisher","TFisher","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.2.0",NA,NA,"stats, sn, mvtnorm, Matrix",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"TH.data","TH.data","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1-1",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"dplyr, gdata, plyr, trtf, tram, rms, coin, ATR, multcomp,
gridExtra, vcd, colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"tidygraph","tidygraph","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.2",NA,NA,"tibble, dplyr (>= 0.8.5), igraph, magrittr, utils, rlang, R6,
tools, stats, tidyr, pillar, cli","cpp11","network, data.tree, ape, graph, methods, testthat, covr,
seriation, netrankr, influenceR, NetSwan",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tidyr","tidyr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.2.1",NA,"R (>= 3.1)","dplyr (>= 1.0.0), ellipsis (>= 0.1.0), glue, lifecycle,
magrittr, purrr, rlang, tibble (>= 2.1.1), tidyselect (>=
1.1.0), utils, vctrs (>= 0.3.7)","cpp11 (>= 0.4.0)","covr, data.table, jsonlite, knitr, readr, repurrrsive (>=
1.0.0), rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"tidytree","tidytree","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.4.1",NA,"R (>= 3.4.0)","ape, dplyr, lazyeval, magrittr, methods, rlang, tibble, tidyr,
tidyselect, yulab.utils (>= 0.0.4), pillar",NA,"knitr, rmarkdown, prettydoc, testthat, utils",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"tidyverse","tidyverse","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.3.2",NA,"R (>= 3.3)","broom (>= 0.7.10), cli (>= 3.1.0), crayon (>= 1.4.2), dbplyr
(>= 2.1.1), dplyr (>= 1.0.7), dtplyr (>= 1.2.0), forcats (>=
0.5.1), ggplot2 (>= 3.3.5), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.0), haven (>= 2.4.3), hms (>= 1.1.1),
httr (>= 1.4.2), jsonlite (>= 1.7.2), lubridate (>= 1.8.0),
magrittr (>= 2.0.1), modelr (>= 0.1.8), pillar (>= 1.6.4),
purrr (>= 0.3.4), readr (>= 2.1.1), readxl (>= 1.3.1), reprex
(>= 2.0.1), rlang (>= 0.4.12), rstudioapi (>= 0.13), rvest (>=
1.0.2), stringr (>= 1.4.0), tibble (>= 3.1.6), tidyr (>=
1.1.4), xml2 (>= 1.3.3)",NA,"covr, feather, glue, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"timechange","timechange","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.1.1",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat, knitr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"tinytex","tinytex","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.42",NA,NA,"xfun (>= 0.29)",NA,"testit, rstudioapi",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"topGO","topGO","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.48.0",NA,"R (>= 2.10.0), methods, BiocGenerics (>= 0.13.6), graph (>=
1.14.0), Biobase (>= 2.0.0), GO.db (>= 2.3.0), AnnotationDbi
(>= 1.7.19), SparseM (>= 0.73)","lattice, matrixStats, DBI",NA,"ALL, hgu95av2.db, hgu133a.db, genefilter, xtable, multtest,
Rgraphviz, globaltest",NA,"LGPL",NA,NA,NA,NA,"no","4.2.0"
"treeio","treeio","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.20.2",NA,"R (>= 3.6.0)","ape, dplyr, jsonlite, magrittr, methods, rlang, tibble,
tidytree (>= 0.3.9), utils",NA,"Biostrings, ggplot2, ggtree, igraph, knitr, rmarkdown,
phangorn, prettydoc, testthat, tidyr, vroom, xml2, yaml",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"tweenr","tweenr","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","2.0.2",NA,"R (>= 3.2.0)","farver, magrittr, rlang, vctrs","cpp11 (>= 0.4.2)","testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"units","units","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","0.8-0",NA,"R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)","NISTunits, measurements, xml2, magrittr, pillar (>= 1.3.0),
dplyr (>= 1.0.0), vctrs (>= 0.3.1), ggplot2 (> 3.2.1), testthat
(>= 3.0.0), vdiffr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"uuid","uuid","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.1-0",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"VariantAnnotation","VariantAnnotation","/Volumes/archive/userdata/student_users/kieranredpath/R/x86_64-pc-linux-gnu-library/4.2","1.42.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0),
MatrixGenerics, GenomeInfoDb (>= 1.15.2), GenomicRanges (>=
1.41.5), SummarizedExperiment (>= 1.19.5), Rsamtools (>=
1.99.0)","utils, DBI, zlibbioc, Biobase, S4Vectors (>= 0.27.12), IRanges
(>= 2.23.9), XVector (>= 0.29.2), Biostrings (>= 2.57.2),
AnnotationDbi (>= 1.27.9), rtracklayer (>= 1.39.7), BSgenome
(>= 1.47.3), GenomicFeatures (>= 1.31.3)","S4Vectors, IRanges, XVector, Biostrings, Rhtslib","RUnit, AnnotationHub, BSgenome.Hsapiens.UCSC.hg19,
TxDb.Hsapiens.UCSC.hg19.knownGene,
SNPlocs.Hsapiens.dbSNP.20101109, SIFT.Hsapiens.dbSNP132,
SIFT.Hsapiens.dbSNP137, PolyPhen.Hsapiens.dbSNP131, snpStats,
ggplot2, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.0"
